,australia,austria,belgium-luxembourg,canada,denmark,finland,france,germany,greece,iceland,ireland,israel,italy,japan,netherlands,norway,portugal,spain,sweden,switzerland,turkey,united kingdom,usa,yugoslavia
australia,0.0,540819.0,42659119.0,58984828.0,1398205.0,10763687.0,142166727.0,118377040.0,7182900.0,2090.0,456689.0,4607180.0,99994198.0,866144154.0,28982090.0,3141558.0,4618698.0,16795525.0,8454047.0,1318360.0,9890831.0,100118911.0,92429881.0,22427347.0
austria,6566518.0,0.0,6712704.0,15194377.0,4027851.0,2724475.0,11028765.0,145268856.0,4303622.0,368969.0,128460.0,5164461.0,167267272.0,1779856.0,21251089.0,2461145.0,5479757.0,1317746.0,12115757.0,30381888.0,10968666.0,16545322.0,24824762.0,17015942.0
belgium-luxembourg,49024654.0,5224621.0,0.0,91156219.0,5897949.0,29367270.0,386227928.0,254714960.0,3301210.0,59947.0,7899964.0,3994248.0,60279590.0,10863693.0,256753872.0,14047180.0,5854876.0,13805090.0,134484006.0,20970053.0,9202619.0,97316616.0,138709718.0,5701808.0
canada,94918604.0,5116450.0,125148169.0,0.0,9164142.0,2142193.0,81714185.0,165330735.0,11383873.0,36418.0,3404022.0,1727797.0,82802462.0,546116607.0,120034586.0,143754104.0,2316768.0,35542048.0,12741161.0,11990246.0,2594060.0,442129004.0,2844615488.0,6298414.0
denmark,2702038.0,4507411.0,6482336.0,10184080.0,0.0,57832608.0,22094233.0,103352092.0,260428.0,1190001.0,716396.0,237485.0,22918883.0,7226570.0,15661993.0,19246604.0,1509835.0,5056803.0,113861880.0,7786866.0,893080.0,35891863.0,96300008.0,415529.0
finland,13622045.0,3130070.0,26028926.0,5176231.0,26537236.0,0.0,41348081.0,81152139.0,6291919.0,1397468.0,10428026.0,7618965.0,26319827.0,5193296.0,72142586.0,10078738.0,1039633.0,13448959.0,39174717.0,14428526.0,2500923.0,195616772.0,23582338.0,487004.0
france,196164543.0,12353870.0,381965776.0,128525377.0,22061725.0,48296657.0,0.0,349507264.0,25458344.0,115998.0,15496014.0,8974725.0,425197152.0,16075703.0,136824232.0,18169685.0,26353681.0,85022120.0,181868124.0,52139065.0,30064059.0,114205052.0,209746116.0,11375590.0
germany,148125992.0,180181000.0,276433000.0,258851000.0,117050000.0,93928000.0,425614992.0,0.0,41392000.0,767000.0,19990000.0,21816000.0,397296000.0,26870000.0,799158992.0,118070000.0,24203000.0,75386000.0,386914016.0,104253000.0,58956000.0,124674000.0,614277000.0,50770000.0
greece,9686734.0,6122158.0,4093052.0,8981608.0,269107.0,8834707.0,20485929.0,22409201.0,0.0,0.0,60920.0,4616001.0,20855344.0,6948542.0,7035535.0,2940675.0,1740183.0,10010999.0,12348386.0,2802067.0,6021935.0,15421117.0,19759825.0,13616660.0
iceland,6138.0,62343.0,135144.0,56503.0,1384778.0,1433963.0,302962.0,1291060.0,45073.0,0.0,0.0,0.0,666720.0,56283.0,403360.0,238386.0,28891.0,81962.0,1724647.0,77012.0,3674.0,964196.0,638126.0,49987.0
ireland,1035837.0,179186.0,7806351.0,5552494.0,1163790.0,12390797.0,11562301.0,9418046.0,81227.0,11811.0,0.0,32018.0,3600591.0,685994.0,12353816.0,1387732.0,1103776.0,11371823.0,17511180.0,374192.0,120897.0,60667808.0,7187778.0,78107.0
israel,5048061.0,3523428.0,3731063.0,2238544.0,427933.0,10766639.0,8671928.0,11402228.0,4973170.0,0.0,223187.0,0.0,7644932.0,4039896.0,3417191.0,637347.0,2344932.0,814685.0,8354091.0,6948864.0,2272515.0,13266067.0,50438633.0,3147137.0
italy,124460239.0,168234624.0,72400930.0,100510061.0,13727100.0,28499772.0,416822128.0,326720008.0,21459470.0,824941.0,3271774.0,8886219.0,0.0,15479206.0,73750965.0,12859375.0,20418887.0,24872345.0,83954635.0,58786270.0,41582878.0,79228112.0,298660242.0,80745119.0
japan,1140100179.0,1987538.0,13965518.0,593454262.0,6727794.0,5060011.0,13136296.0,18391132.0,9299812.0,13729.0,2988988.0,4683514.0,14377582.0,0.0,17379541.0,2025975.0,9463685.0,4122996.0,16021045.0,1552861.0,10353141.0,30057318.0,1716520776.0,1412573.0
netherlands,6842070.0,25437274.0,246843784.0,62318184.0,16036651.0,78656661.0,147598888.0,549989424.0,7125124.0,213196.0,10723877.0,9644038.0,75328084.0,14642236.0,0.0,31556084.0,8736740.0,21661677.0,166336584.0,26134401.0,3909739.0,121430564.0,355327630.0,11231120.0
norway,10549636.0,4255253.0,20356335.0,422228085.0,46667278.0,19535573.0,39427036.0,133149676.0,7334119.0,646210.0,1564554.0,1685652.0,30468913.0,5671013.0,59245732.0,0.0,4792368.0,22734253.0,219512800.0,5915058.0,5535702.0,164754312.0,97304964.0,506327.0
portugal,5027725.0,4688537.0,6163202.0,2982344.0,1361265.0,1149859.0,25138943.0,23320327.0,3293822.0,0.0,477765.0,3240438.0,18163157.0,7762845.0,9800616.0,2683727.0,0.0,15024584.0,5502625.0,3889749.0,17691628.0,50444911.0,21280261.0,235034.0
spain,30971858.0,2364108.0,12508169.0,47383311.0,5014293.0,17006050.0,80567428.0,56835416.0,22623999.0,73517.0,12970281.0,10327113.0,26918784.0,4451776.0,18891698.0,10624718.0,14900055.0,0.0,62589688.0,4563269.0,19556571.0,72201753.0,291423593.0,7973853.0
sweden,9427780.0,9755971.0,38023127.0,10625606.0,108240704.0,31188287.0,140569092.0,253244604.0,9090541.0,1647578.0,13997262.0,6950243.0,78804876.0,8382421.0,161979772.0,88939176.0,5766256.0,49818560.0,0.0,25929961.0,3423090.0,308880770.0,37641785.0,2436358.0
switzerland,4318659.0,33711973.0,11670196.0,5997831.0,4722147.0,10192853.0,54967117.0,84346632.0,1771477.0,4569.0,5411173.0,3572742.0,61232700.0,2127199.0,25825041.0,1694836.0,3925815.0,4624422.0,33080847.0,0.0,6685624.0,19762188.0,24874682.0,1875240.0
turkey,8841783.0,5870792.0,17313305.0,3324184.0,668568.0,2524980.0,17621833.0,36119770.0,3868995.0,2449.0,0.0,1720035.0,27787618.0,5059647.0,8857130.0,2280019.0,7673819.0,3492302.0,3608333.0,36364128.0,0.0,38022269.0,13076687.0,10929929.0
united kingdom,123617587.0,13881815.0,76751648.0,430824606.0,39019481.0,224698176.0,109294344.0,167291192.0,15347340.0,988563.0,69755534.0,5442947.0,103743396.0,28982629.0,150182520.0,98749325.0,44678012.0,65071184.0,400027146.0,39820854.0,8998235.0,0.0,237783656.0,3597766.0
usa,129299507.0,11422851.0,145765648.0,2828402937.0,78304468.0,13927376.0,156288537.0,454988650.0,19637308.0,354500.0,26930046.0,50235824.0,273210287.0,1424838053.0,438714523.0,38449471.0,18455528.0,258715204.0,40638806.0,48377042.0,15622009.0,229075205.0,0.0,12563527.0
yugoslavia,25684600.0,22594247.0,6348066.0,7614811.0,275916.0,375091.0,10245510.0,39843192.0,14537446.0,0.0,0.0,2890405.0,74734583.0,1707709.0,12083120.0,391573.0,0.0,6144404.0,2272746.0,6802531.0,9968965.0,5026252.0,14456375.0,0.0
