,,australia,austria,belgium,brazil,canada,chile,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,india,ireland,israel,italy,japan,latvia,lithuania,luxembourg,mexico,netherlands,new zealand,norway,poland,portugal,rep. of korea,slovakia,slovenia,spain,sweden,switzerland,turkey,united kingdom,usa,china
export,australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91483730674
export,austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584741104
export,belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365409755
export,brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75469885211
export,canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16266021338
export,chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26278846029
export,czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598663133
export,denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348361002
export,estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117999810
export,finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689698226
export,france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4293637378
export,germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11715418361
export,greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323547172
export,hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314405344
export,iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149920879
export,india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11693061232
export,ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139047268
export,israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696193980
export,italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3823932081
export,japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28078917715
export,latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173909630
export,lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163253868
export,luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169352518
export,mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4561945167
export,netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4759185036
export,new zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9994919140
export,norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575853175
export,poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334861390
export,portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415895592
export,rep. of korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27245582044
export,slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70838998
export,slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112353743
export,spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4082154652
export,sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308442182
export,switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775654027
export,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291731755
export,united kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7801448770
export,usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44356048241
re-import,china,12007088826,329755354,4130590690,6568260081,8880524881,4330452553,569858630,1066396539,228998482,678097919,4658190975,12063035607,1348989725,377452424,110530773,14137652536,482541993,2602040050,7542151617,32803095731,290094502,541135067,92479792,8324143931,8598819933,1511611016,654429195,3623531432,1087428808,26467652994,222080607,1028220019,5338418449,1514363342,410306006,4983284734,10660995736,67308015066,4952412469
